Tenses Review | Powtórka Czasów
Past Simple vs. Past Continuous | Czas Przeszły Prosty kontra Ciągły
Nouns, Comparison, As...As | Rzeczowniki, Porównywanie, Tyle...Ile; Tak...Jak
Present Perfect | Czas Teraźniejszy Dokonany
Present Perfect - ever, never | Czas Present Perfect z Kiedykolwiek, Nigdy
Present Perfect - Already, Yet, Just | Present Perfect z Już, Jeszcze, Właśnie
Present Perfect - For & Since | Present Perfect w użyciu z Przez, Od i Odkąd
Present Perfect Continuous | Czas Present Perfect Ciągły
Present Perfect vs. Present Perfect Continuous | Czas Teraźniejszy Dokonany kontra Ciągły
Irregular Verbs - Third Form | Czasowniki Nieregularne - Trzecia Forma
Indirect Questions 1 | Pytania Zależne, część 1
Modal Verbs | Czasowniki Modalne
Someone, Anyone, No one, etc. | Ktoś, Nikt, etc
It takes... 1 | To zabiera/zajmuje..., część 1
Used to | Przeszłe Zwyczaje
Want Somebody To Do Something | Chcieć, żeby Ktoś Coś Zrobił
Indirect Imperatives | Rozkazy Pośrednie
Make & Do 1 | Tworzyć i Robić, część 1
Future Simple/Future Continuous | Czas Przyszły Prosty/Ciągły
First Conditional + Time Clauses | Pierwszy Tryb Warunkowy+Zdania Czasowe
Second Conditional | Drugi Tryb Warunkowy
Get - Expressions | Zwroty z czasownikiem Get
All, None, Both, Neither, Either... | Wszyscy, Obydwoje, Nikt, Żaden....
Make Somebody Do Something | Sprawić, aby Ktoś Coś Zrobił
Questions about Subjects & Objects | Pytania o Podmiot i Dopełnienie
Prepositions 3 | Przyimki, część 3
Expressions 3 | Wyrażenia, część 3
Review - Sprawdź Się!
